reference_count,benchmark_videos,hybrid_evaluations_per_video,elapsed_seconds,milliseconds_per_video_batched,repeat_seconds
3,100,24,1.370670400094241,13.706704000942409,"[1.371201999951154,1.3507426001597196,1.370670400094241]"
5,100,40,1.6140161999501288,16.140161999501288,"[1.6486124999355525,1.612389300018549,1.6140161999501288]"
10,100,80,2.234432600205764,22.34432600205764,"[2.234432600205764,2.2147727000992745,2.238078899914399]"
