reference_count,selected_alpha,reference_sparse_test_n,spearman,mae,rmse,relative_l2_variance_ratio_internal,relative_l2,relative_l2_definition
3,10.0,14,0.8345553079895809,5.696656430257019,8.351099394121672,0.3105403817977515,0.6398619835522393,100 * mean(((prediction-target)/(max(target)-min(target)))^2)
5,10.0,14,0.8352843421754661,5.690289749744159,8.336372293338929,0.3094460763077284,0.63760718990059,100 * mean(((prediction-target)/(max(target)-min(target)))^2)
10,10.0,14,0.8350960357156212,5.690705463176715,8.337987929022578,0.30956603269936156,0.6378543575450871,100 * mean(((prediction-target)/(max(target)-min(target)))^2)
