subset,n,trustdive_minus_rica2_mae,ci_lower,ci_upper
All official test,749,-0.44272841236490673,-0.6422971435095001,-0.2534462431273156
Seven-judge test,325,-0.7498733593523502,-1.0763448333794965,-0.4477132262323711
High disagreement,94,-0.9424820884348865,-1.489157090641654,-0.3609426274415006
