model,spearman,mae,rmse,relative_l2_internal,relative_l2,high_disagreement_n,high_disagreement_mae
Deterministic RICA²,0.8277870574294904,6.167331704233931,8.759852511662642,0.3416837819520756,0.7040323103932917,94,8.437511049179319
RICA² + CoRe-style,0.8339496883665638,5.740121296129523,8.389103454183426,0.3133732181660714,0.6456989838393473,94,7.560265925305496
RICA² + TSA-style,0.838039934309453,5.760236815578457,8.326383566872114,0.3087049576804591,0.6360801304175472,94,7.814182601418454
TrustDive,0.8342481139764061,5.724603291869024,8.366534086700279,0.3116893382294709,0.6422293843300674,94,7.495028960744432


