baseline,estimate,ci_low,ci_high,iterations,subset
Deterministic RICA²,-0.4427284123649064,-0.6437180480411687,-0.2569501401701584,10000,overall
RICA² + CoRe-style,-0.0155180042604987,-0.0781431630376682,0.0386219883539515,10000,overall
RICA² + TSA-style,-0.0356335237094329,-0.183825123018895,0.1179292007448914,10000,overall


