strategy,coverage,accepted_mae
RICA2 uncertainty,0.0013351134846461949,3.1641834735870304
RICA2 uncertainty,0.0026702269692923898,3.9338380098342896
RICA2 uncertainty,0.004005340453938585,3.138382931550344
RICA2 uncertainty,0.0053404539385847796,2.403199004009366
RICA2 uncertainty,0.006675567423230975,2.9105839252471926
RICA2 uncertainty,0.00801068090787717,2.474267049133779
RICA2 uncertainty,0.009345794392523364,2.559251755901745
RICA2 uncertainty,0.010680907877169559,3.740356550738216
RICA2 uncertainty,0.012016021361815754,3.398385937015214
RICA2 uncertainty,0.01335113484646195,3.3252542129158984
RICA2 uncertainty,0.014686248331108143,3.258086534250867
RICA2 uncertainty,0.01602136181575434,3.606457417706648
RICA2 uncertainty,0.017356475300400534,4.042711603068389
RICA2 uncertainty,0.018691588785046728,5.865182129293681
RICA2 uncertainty,0.020026702269692925,5.749042250116667
RICA2 uncertainty,0.021361815754339118,6.067203231807798
RICA2 uncertainty,0.022696929238985315,6.118891972478699
RICA2 uncertainty,0.02403204272363151,6.339398046003448
RICA2 uncertainty,0.025367156208277702,7.755452726310804
RICA2 uncertainty,0.0267022696929239,7.446027725264429
RICA2 uncertainty,0.028037383177570093,7.500923843327022
RICA2 uncertainty,0.029372496662216287,7.394452378695661
RICA2 uncertainty,0.030707610146862484,7.283308990299702
RICA2 uncertainty,0.03204272363150868,7.153784916239481
RICA2 uncertainty,0.03337783711615487,6.982525053322315
RICA2 uncertainty,0.03471295060080107,7.173927528181902
RICA2 uncertainty,0.036048064085447265,6.937475644769494
RICA2 uncertainty,0.037383177570093455,6.874368134886028
RICA2 uncertainty,0.03871829105473965,6.694708276719884
RICA2 uncertainty,0.04005340453938585,6.614888650675615
RICA2 uncertainty,0.04138851802403204,6.75532213651365
RICA2 uncertainty,0.042723631508678236,6.806757980678231
RICA2 uncertainty,0.044058744993324434,6.683165711074165
RICA2 uncertainty,0.04539385847797063,6.578118152215201
RICA2 uncertainty,0.04672897196261682,6.6689065674373085
RICA2 uncertainty,0.04806408544726302,6.604703811224964
RICA2 uncertainty,0.049399198931909215,6.4280393788137955
RICA2 uncertainty,0.050734312416555405,6.407639591082146
RICA2 uncertainty,0.0520694259012016,6.513584019358341
RICA2 uncertainty,0.0534045393858478,6.4375853560119864
RICA2 uncertainty,0.05473965287049399,6.293080477307482
RICA2 uncertainty,0.056074766355140186,6.255733676467623
RICA2 uncertainty,0.05740987983978638,6.312796069577682
RICA2 uncertainty,0.05874499332443257,6.2596020250835185
RICA2 uncertainty,0.06008010680907877,6.22769078115622
RICA2 uncertainty,0.06141522029372497,6.181721576594786
