candidate,comparator,metric,delta_candidate_minus_comparator,ci_low,ci_high,iterations,cluster_count,seed
full_latent_reference_ridge,latent_only_ridge,spearman,0.000917783350132928,3.3551422806685216e-05,0.001861900289673382,10000,39,20260903
full_latent_reference_ridge,latent_only_ridge,mae,-0.005998460017494267,-0.024605553642700007,0.01428460116671217,10000,39,20260903
full_latent_reference_ridge,latent_only_ridge,rmse,-0.015233749780957595,-0.02697464283982425,-0.0003471041054910814,10000,39,20260903
full_latent_reference_ridge,reference_only_ridge,spearman,0.0027376554652803753,-0.001028027047214186,0.006174097140735182,10000,39,20260904
full_latent_reference_ridge,reference_only_ridge,mae,-0.0950367236168228,-0.18114292018143818,-0.017025690528143303,10000,39,20260904
full_latent_reference_ridge,reference_only_ridge,rmse,-0.07693454242556896,-0.16037475623719913,0.0013893699058953849,10000,39,20260904
full_latent_reference_ridge,score_only_linear,spearman,0.004269212767913921,0.0003570071120433921,0.007962118604197066,10000,39,20260905
full_latent_reference_ridge,score_only_linear,mae,-0.1309574963907414,-0.22661889018294065,-0.04422468658604329,10000,39,20260905
full_latent_reference_ridge,score_only_linear,rmse,-0.1311573466349678,-0.221851207439973,-0.049809462493532186,10000,39,20260905
prespecified_trustdive,frozen_teacher,spearman,0.0064610565469156445,-9.826389864186766e-05,0.012762572127964575,10000,39,20260906
prespecified_trustdive,frozen_teacher,mae,-0.44272841236490645,-0.6437180480411687,-0.25695014017015844,10000,39,20260906
prespecified_trustdive,frozen_teacher,rmse,-0.3933184249623629,-0.6821625783504088,-0.15362750206364076,10000,39,20260906
prespecified_trustdive,full_latent_reference_ridge,spearman,-0.0010362281990600186,-0.002444285408987559,0.0005599032539811114,10000,39,20260907
prespecified_trustdive,full_latent_reference_ridge,mae,0.03431354212486504,0.0043523096308831334,0.0653486380367505,10000,39,20260907
prespecified_trustdive,full_latent_reference_ridge,rmse,0.03016179336134961,0.0012827676032333148,0.060214065468921114,10000,39,20260907
