model,spearman,mae,rmse,relative_l2_variance_ratio_internal,relative_l2,relative_l2_definition
frozen_teacher,0.8277870574294904,6.167331704233931,8.759852511662642,0.3416837819520756,0.7040323103932917,100 * mean(((prediction-target)/(max(target)-min(target)))^2)
score_only_linear,0.8310151294075522,5.8212472461349005,8.467529639973897,0.3192597934841352,0.6578281495779245,100 * mean(((prediction-target)/(max(target)-min(target)))^2)
latent_only_ridge,0.8343665588253332,5.696288209761653,8.351606043119887,0.31057806300319746,0.6399396248906047,100 * mean(((prediction-target)/(max(target)-min(target)))^2)
reference_only_ridge,0.8325466867101857,5.785326473360982,8.413306835764498,0.31518405120811904,0.6494301675760928,100 * mean(((prediction-target)/(max(target)-min(target)))^2)
full_latent_reference_ridge,0.8352843421754661,5.690289749744159,8.336372293338929,0.3094460763077284,0.63760718990059,100 * mean(((prediction-target)/(max(target)-min(target)))^2)
prespecified_trustdive,0.8342481139764061,5.724603291869024,8.366534086700279,0.3116893382294709,0.6422293843300674,100 * mean(((prediction-target)/(max(target)-min(target)))^2)
