model,hidden,learning_rate,spearman,spearman_sd,mae,mae_sd,rmse,relative_l2,median_best_epoch,parameter_count,eligible
core_style,64,0.0003,0.9593620297236369,0.0002571062806357229,3.2870687219087933,0.018159993862121363,4.478040700700231,0.2924973974379767,16.0,65729,True
core_style,64,0.001,0.9584687116097242,0.0006909347629474726,3.283193703693986,0.023398601341158804,4.500356496359813,0.29543142610355455,7.0,65729,True
core_style,128,0.0003,0.9589067718826962,0.0008639716889326444,3.282121513872758,0.006370767764476447,4.482593127335275,0.29309224526273026,5.0,131457,True
core_style,128,0.001,0.9585914035182393,0.0003923519712080177,3.2911172756597966,0.015581045582930239,4.509517268672454,0.29662625709792373,3.0,131457,True


