model,hidden,learning_rate,seed,best_epoch,parameter_count,residual_clip_lower,residual_clip_upper,spearman,mae,rmse,relative_l2_variance_ratio_internal,relative_l2,relative_l2_definition
core_style,64,0.0003,20260904,16,65729,-0.9187219429016114,1.2452733898162853,0.9596541495239886,3.2815721059094303,4.458518468992162,0.07942607499175897,0.289948233015126,100 * mean(((prediction-target)/(max(target)-min(target)))^2)
core_style,64,0.0003,20260905,2,65729,-0.9187219429016114,1.2452733898162853,0.9592618300047101,3.307342034515862,4.500906965458286,0.08094351011815507,0.29548769387428697,100 * mean(((prediction-target)/(max(target)-min(target)))^2)
core_style,64,0.0003,20260906,21,65729,-0.9187219429016114,1.2452733898162853,0.959170109642212,3.272292025301087,4.474696667650245,0.08000353234851623,0.29205626542451707,100 * mean(((prediction-target)/(max(target)-min(target)))^2)
core_style,64,0.001,20260904,1,65729,-0.9187219429016114,1.2452733898162853,0.9580399666860683,3.2857329090831535,4.472180076430793,0.07991356890037367,0.29172785006687046,100 * mean(((prediction-target)/(max(target)-min(target)))^2)
core_style,64,0.001,20260905,34,65729,-0.9187219429016114,1.2452733898162853,0.9581003970290681,3.3052191406369777,4.546856133243554,0.08260462944899158,0.30155167997524046,100 * mean(((prediction-target)/(max(target)-min(target)))^2)
core_style,64,0.001,20260906,7,65729,-0.9187219429016114,1.2452733898162853,0.9592657711140361,3.2586290613618276,4.48203327940509,0.0802660913903736,0.2930147482685527,100 * mean(((prediction-target)/(max(target)-min(target)))^2)
core_style,128,0.0003,20260904,1,131457,-0.9187219429016114,1.2452733898162853,0.9579095517956414,3.2787415666567026,4.501469807799524,0.08096375549698809,0.2955616004826642,100 * mean(((prediction-target)/(max(target)-min(target)))^2)
core_style,128,0.0003,20260905,7,131457,-0.9187219429016114,1.2452733898162853,0.9594301034301782,3.278152985071014,4.486350118905193,0.08042078131557534,0.2935794503576607,100 * mean(((prediction-target)/(max(target)-min(target)))^2)
core_style,128,0.0003,20260906,5,131457,-0.9187219429016114,1.2452733898162853,0.9593806604222692,3.289469989890559,4.459959455301109,0.0794774240588401,0.29013568494786585,100 * mean(((prediction-target)/(max(target)-min(target)))^2)
core_style,128,0.001,20260904,4,131457,-0.9187219429016114,1.2452733898162853,0.9587404092981133,3.2907762877467244,4.528794760465741,0.08194967590016948,0.2991607444517659,100 * mean(((prediction-target)/(max(target)-min(target)))^2)
core_style,128,0.001,20260905,3,131457,-0.9187219429016114,1.2452733898162853,0.9581463766378726,3.3068660165295674,4.520727167419008,0.08165796572289197,0.298095844159728,100 * mean(((prediction-target)/(max(target)-min(target)))^2)
core_style,128,0.001,20260906,3,131457,-0.9187219429016114,1.2452733898162853,0.9588874246187319,3.275709522703098,4.479029878132612,0.0801585551471951,0.29262218268227735,100 * mean(((prediction-target)/(max(target)-min(target)))^2)


